S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
28,Chilime Hydropower Company Limited,210,604.00,585.00,596.00,18290.00,10838735.10,603.00,-7.00
29,Citizen Bank International Limited,422,321.00,307.00,308.00,100504.00,31158909.20,318.00,-10.00
30,Citizen Investment Trust,257,3350.00,3290.00,3300.00,9327.00,30807587.30,3372.00,-72.00
31,Citizens Mutual Fund -1,8,10.19,10.00,10.00,10360.00,103647.50,10.00,0.00
32,CITIZENS MUTUAL FUND 2,48,10.01,9.72,9.72,273400.00,2699531.00,10.00,-0.28
33,Civil Bank Ltd,273,242.90,237.00,238.00,56148.00,13369491.20,243.00,-5.00
34,Civil Laghubitta Bittiya Sanstha Ltd.,78,1400.00,1289.00,1310.00,4094.00,5352021.40,1341.10,-31.10
35,Corporate Development Bank Limited,36,800.00,750.00,761.00,3790.00,2892204.00,790.00,-29.00
36,Deprosc Laghubitta Bittiya Sanstha Limited,274,1290.00,1223.00,1251.00,11441.00,14350760.80,1287.00,-36.00
37,Dibyashwori Hydropower Ltd.,73,293.70,282.00,287.00,8852.00,2546651.30,294.00,-7.00
38,Everest Bank Limited,181,710.00,699.80,700.10,29060.00,20389292.60,714.00,-13.90
39,Everest Insurance Co. Ltd.,92,650.00,620.00,624.00,14406.00,9056427.60,655.00,-31.00
40,Everest Insurance Co. Ltd. Promoter Share,24,394.20,363.80,377.00,17893.00,6702991.40,379.00,-2.00
41,Excel Development Bank Ltd.,58,564.00,540.00,545.00,3699.00,2031572.80,554.10,-9.10
42,First Micro Finance Development Bank Ltd.,139,900.10,863.00,880.00,18281.00,16073639.50,905.00,-25.00
43,Forward Community Microfinance Bittiya Sanstha Ltd.,157,2852.00,2724.40,2730.00,5242.00,14423509.30,2852.00,-122.00
44,Ganapati Microfinance Bittiya Sanstha Limited,25,1487.00,1436.00,1456.40,1102.00,1622001.50,1515.00,-58.60
45,Garima Bikas Bank Limited,311,575.00,552.00,553.50,50548.00,28242496.30,575.00,-21.50
46,General Insurance Company Nepal Ltd,96,560.00,535.20,545.00,5531.00,3001334.20,565.00,-20.00
47,Ghalemdi Hydro Limited,111,351.90,310.50,310.50,9813.00,3080454.90,345.00,-34.50
48,Global IME Bank Limited,833,399.50,385.00,388.90,86933.00,33874922.80,399.50,-10.60
49,Global IME Laghubitta Bittiya Sanstha Ltd.,104,2270.00,2137.00,2143.00,4684.00,10288725.00,2265.00,-122.00
50,Global IME Samunnat Scheme-1,321,21.25,20.00,20.49,1272594.00,26108020.76,20.92,-0.43
51,Goodwill Finance Co. Ltd.,199,667.00,635.60,636.00,17837.00,11577306.90,679.00,-43.00
52,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,109,996.00,966.00,981.00,6790.00,6639273.10,1005.00,-24.00
53,Green Development Bank Ltd.,83,391.10,346.00,361.00,11519.00,4147202.00,376.00,-15.00
54,GreenLife Hydropower Limited,201,422.00,388.00,391.00,16402.00,6589389.40,414.00,-23.00
55,Guheshowori Merchant Bank & Finance Co. Ltd.,102,476.00,445.20,460.00,11389.00,5210965.10,485.00,-25.00
